Export of Imageset bitbots-nagoya-sequences-euro-ball-robot-1 (ball annotations in bounding boxes)
[team|Bit-Bots]
[set|bitbots-nagoya-sequences-euro-ball-robot-1]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::robot|sequences_euro_ball_robot_1_a_00001.png|800|600|205|348|312|412|258.5|380.0|107|64
label::robot|sequences_euro_ball_robot_1_a_00001.png|800|600|130|212|185|277|157.5|244.5|55|65
label::robot|sequences_euro_ball_robot_1_a_00001.png|800|600|227|226|304|335|265.5|280.5|77|109
label::robot|sequences_euro_ball_robot_1_a_00002.png|800|600|131|209|183|273|157.0|241.0|52|64
label::robot|sequences_euro_ball_robot_1_a_00002.png|800|600|222|223|297|337|259.5|280.0|75|114
label::robot|sequences_euro_ball_robot_1_a_00002.png|800|600|206|348|310|412|258.0|380.0|104|64
label::robot|sequences_euro_ball_robot_1_a_00003.png|800|600|131|205|183|269|157.0|237.0|52|64
label::robot|sequences_euro_ball_robot_1_a_00003.png|800|600|223|223|297|328|260.0|275.5|74|105
label::robot|sequences_euro_ball_robot_1_a_00003.png|800|600|206|342|310|406|258.0|374.0|104|64
label::robot|sequences_euro_ball_robot_1_a_00004.png|800|600|129|195|181|259|155.0|227.0|52|64
label::robot|sequences_euro_ball_robot_1_a_00004.png|800|600|206|332|310|396|258.0|364.0|104|64
label::robot|sequences_euro_ball_robot_1_a_00004.png|800|600|223|211|293|316|258.0|263.5|70|105
label::robot|sequences_euro_ball_robot_1_a_00005.png|800|600|129|191|181|255|155.0|223.0|52|64
label::robot|sequences_euro_ball_robot_1_a_00005.png|800|600|223|207|299|312|261.0|259.5|76|105
label::robot|sequences_euro_ball_robot_1_a_00005.png|800|600|206|326|310|390|258.0|358.0|104|64
label::robot|sequences_euro_ball_robot_1_a_00006.png|800|600|129|191|181|255|155.0|223.0|52|64
label::robot|sequences_euro_ball_robot_1_a_00006.png|800|600|223|203|299|312|261.0|257.5|76|109
label::robot|sequences_euro_ball_robot_1_a_00006.png|800|600|206|326|310|390|258.0|358.0|104|64
label::robot|sequences_euro_ball_robot_1_a_00007.png|800|600|127|179|179|243|153.0|211.0|52|64
label::robot|sequences_euro_ball_robot_1_a_00007.png|800|600|223|193|305|302|264.0|247.5|82|109
label::robot|sequences_euro_ball_robot_1_a_00007.png|800|600|206|318|310|382|258.0|350.0|104|64
label::robot|sequences_euro_ball_robot_1_a_00008.png|800|600|129|173|181|237|155.0|205.0|52|64
label::robot|sequences_euro_ball_robot_1_a_00008.png|800|600|223|189|307|298|265.0|243.5|84|109
label::robot|sequences_euro_ball_robot_1_a_00008.png|800|600|206|310|310|374|258.0|342.0|104|64
label::robot|sequences_euro_ball_robot_1_a_00009.png|800|600|131|171|183|235|157.0|203.0|52|64
label::robot|sequences_euro_ball_robot_1_a_00009.png|800|600|229|185|309|294|269.0|239.5|80|109
label::robot|sequences_euro_ball_robot_1_a_00009.png|800|600|210|306|314|370|262.0|338.0|104|64
label::robot|sequences_euro_ball_robot_1_a_00010.png|800|600|133|165|185|229|159.0|197.0|52|64
